t_s,n_m,e_m,alt_m,yaw_deg
52.37380659999326,0.041,-0.351,11.558,45.21
52.49592030001804,0.041,-0.351,11.399,44.95
52.615703999996185,0.042,-0.352,11.24,45.58
52.740137699991465,0.042,-0.352,11.082,46.57
52.865443899994716,0.043,-0.352,10.923,47.24
52.9863186001312,0.044,-0.352,10.765,47.15
53.10542559996247,0.045,-0.351,10.608,46.14
53.314011099981144,0.046,-0.35,10.451,44.42
53.44014770002104,0.048,-0.349,10.293,42.44
53.6554362999741,0.05,-0.348,10.137,40.76
53.78595610009506,0.052,-0.346,9.981,39.9
53.922309200046584,0.054,-0.344,9.825,40.13
54.06144140008837,0.057,-0.342,9.671,41.22
54.163418899988756,0.06,-0.34,9.516,42.62
54.383893799968064,0.063,-0.337,9.362,43.76
54.49234739993699,0.066,-0.334,9.208,44.29
54.617445199983194,0.07,-0.331,9.056,44.08
54.74196260003373,0.074,-0.328,8.904,43.28
54.86924199992791,0.078,-0.324,8.752,42.3
55.07127350009978,0.084,-0.317,8.525,41.19
55.19782879995182,0.089,-0.312,8.374,41.02
55.32128489995375,0.093,-0.308,8.224,41.26
55.42423140001483,0.099,-0.302,8.075,41.84
55.529071799945086,0.104,-0.297,7.926,42.46
55.63590919994749,0.11,-0.292,7.777,43.05
55.738789200084284,0.115,-0.286,7.629,43.45
55.86418229993433,0.122,-0.28,7.482,43.63
55.9856332000345,0.128,-0.274,7.335,43.51
56.18741070013493,0.134,-0.267,7.189,43.22
56.2886814000085,0.141,-0.26,7.043,42.86
56.38947749999352,0.148,-0.253,6.898,42.58
56.49066339991987,0.155,-0.246,6.754,42.45
56.591344699962065,0.162,-0.238,6.61,42.52
56.69255380006507,0.17,-0.231,6.467,42.71
56.793681000126526,0.178,-0.223,6.325,42.98
56.99684279994108,0.19,-0.21,6.113,43.36
57.09843980008736,0.198,-0.202,5.972,43.51
57.199697700096294,0.207,-0.193,5.833,43.6
57.3005131999962,0.22,-0.179,5.624,43.55
57.41977360006422,0.233,-0.165,5.418,43.41
57.5398476999253,0.243,-0.155,5.281,43.32
57.741132399998605,0.257,-0.14,5.078,43.23
57.85987269994803,0.272,-0.125,4.877,43.25
58.061516700079665,0.287,-0.109,4.677,43.39
58.18306720000692,0.303,-0.092,4.48,43.56
58.303586000110954,0.314,-0.081,4.35,43.65
58.4115675999783,0.325,-0.07,4.221,43.73
58.515445600030944,0.336,-0.058,4.092,43.75
58.617114699911326,0.348,-0.046,3.965,43.74
58.718703400110826,0.359,-0.034,3.839,43.69
58.81984620005824,0.371,-0.022,3.714,43.64
58.9231658000499,0.383,-0.009,3.589,43.57
59.02623050007969,0.395,0.003,3.466,43.54
59.146063700085506,0.407,0.016,3.345,43.52
59.26589750009589,0.42,0.029,3.224,43.55
59.38371039996855,0.433,0.043,3.105,43.59
59.5039169001393,0.446,0.056,2.988,43.66
59.62206010008231,0.459,0.07,2.872,43.72
59.74188819993287,0.472,0.084,2.757,43.77
59.857011100044474,0.486,0.098,2.644,43.8
59.96065460005775,0.5,0.112,2.533,43.81
60.06182559998706,0.514,0.127,2.423,43.81
60.16327999997884,0.528,0.142,2.315,43.81
60.26855790009722,0.542,0.157,2.208,43.8
60.372891100123525,0.557,0.172,2.103,43.8
60.47546539991163,0.571,0.187,2.0,43.8
60.57609710004181,0.586,0.202,1.898,43.82
60.681481000036,0.601,0.218,1.798,43.85
60.806601100135595,0.617,0.234,1.699,43.88
60.931458099978045,0.632,0.25,1.603,43.92
61.05338619998656,0.648,0.266,1.508,43.94
61.17423369991593,0.664,0.283,1.414,43.96
61.298823199933395,0.68,0.299,1.323,43.96
61.400169499916956,0.696,0.316,1.233,43.97
61.50460060010664,0.712,0.333,1.146,43.97
61.605338300112635,0.729,0.351,1.06,43.98
61.81312449998222,0.754,0.377,0.934,44.0
61.915838700020686,0.771,0.394,0.852,44.04
62.02161940000951,0.789,0.412,0.773,44.05
62.14517530007288,0.806,0.43,0.695,44.08
62.266699499916285,0.823,0.448,0.619,44.09
62.390001400141045,0.841,0.467,0.545,44.11
62.51195150008425,0.859,0.485,0.473,44.11
62.631521499948576,0.877,0.504,0.403,44.12
62.736119400011376,0.895,0.523,0.334,44.13
62.85655630007386,0.914,0.542,0.268,44.14
62.977995299967006,0.933,0.561,0.204,44.15
63.10008250013925,0.951,0.58,0.141,44.18
63.23862159997225,0.97,0.6,0.081,44.2
63.362427100073546,0.989,0.619,0.022,44.22
63.59592509991489,1.009,0.639,-0.034,44.24
63.814114399952814,1.028,0.659,-0.089,44.25
63.91996890003793,1.048,0.68,-0.141,44.26
64.0306001000572,1.068,0.7,-0.191,44.25
64.15530210011639,1.087,0.72,-0.238,44.23
64.28135460009798,1.093,0.728,-0.245,44.96
64.40854420000687,1.096,0.733,-0.243,45.26
64.54476650012657,1.098,0.738,-0.239,45.4
64.66799929994158,1.101,0.744,-0.232,45.36
64.79065400012769,1.103,0.749,-0.223,45.16
64.99493180005811,1.105,0.755,-0.212,44.92
65.10321460012347,1.107,0.762,-0.199,44.73
65.22567449999042,1.109,0.768,-0.183,44.69
65.3491336000152,1.112,0.776,-0.166,44.77
65.47130009997636,1.115,0.783,-0.146,44.97
65.59053710009903,1.118,0.791,-0.124,45.14
65.69546860014088,1.121,0.8,-0.1,45.26
65.7987967999652,1.125,0.808,-0.074,45.24
65.91906900005415,1.128,0.817,-0.045,45.15
66.03886359999888,1.132,0.826,-0.014,44.99
66.15704630012624,1.136,0.835,0.018,44.86
66.35876070009544,1.143,0.85,0.072,44.74
66.47906940011308,1.15,0.865,0.13,44.76
66.60025810007937,1.158,0.881,0.193,44.87
66.8201449001208,1.167,0.897,0.261,44.95
66.93160150013864,1.177,0.915,0.333,44.94
67.0375584999565,1.187,0.932,0.411,44.88
67.2408658999484,1.197,0.951,0.493,44.82
67.34618140012026,1.209,0.97,0.58,44.79
67.45015490008518,1.217,0.983,0.64,44.79
67.55079640005715,1.225,0.996,0.703,44.82
67.65376150002703,1.234,1.01,0.767,44.84
67.77308239997365,1.242,1.024,0.834,44.88
67.89365139999427,1.251,1.038,0.902,44.88
68.01470980001613,1.261,1.052,0.973,44.9
68.13966979994439,1.271,1.067,1.046,44.88
68.259736899985,1.281,1.082,1.12,44.87
68.3765996999573,1.296,1.105,1.236,44.85
68.48147869994864,1.307,1.12,1.316,44.84
68.60135359992273,1.317,1.136,1.397,44.84
68.72117169992998,1.329,1.152,1.481,44.84
68.84136019996367,1.34,1.168,1.566,44.86
68.96332320012152,1.352,1.185,1.654,44.86
69.08417410007678,1.364,1.202,1.743,44.88
69.19837979995646,1.376,1.218,1.834,44.87
